break	straighten	shred	poke	machine	wiggle	true	cook	leave	joke	bin	suit	Harry_hippo
change	slave	save	guard	dinosaur	mama	injury	ham	whoo	idea	crab	meet	rude
close	eye	tongue	Fireman	breathe	itch	twin	elbow	pajamas	crown	mouth	pat	Little_Bo_Peep
dry	present	difficult	ah	uhuh	extra	Bouncing_Ben	pop	shake	wag	shred	rooster	drawbridge
fill	mostly	tough	pop	liar	trip	belt	upstairs	warn	low	sweet	rob	thick
finish	shred	night_night	relax	bubble	seesaw	uhuh	hickory_dickory_dock	Ruth_Mary	sweetheart	injury	Uncle	nail
lose	Little_Bo_Peep	brumm	shoulder	neck	sticky	breathe	frighten	hungry	relax	accident	Dutch	load
open	floor	yoghurt	poke	tip	wipe	pizza	achoo	key	sweetheart	Pat	entrance	night
roll	pin	shorts	warn	brumm	relax	helicopter	nurse	forwards	elbow	Munching_Mike	busy	dangerous
sink	pour	sprout	bowl	road	shutter	into	bird	thick	piggledy	calm	plant	carpet
stop	calm	Nina	hickory_dickory_dock	shred	Uncle	bubble	true	byebye	Postman	Bouncing_Ben	sss	Munching_Mike
turn	Sally	conductor	sweetheart	lid	Uncle	sigh	Pat	balloon	Ruth_Mary	garden	yoghurt	used
