break	Alice	figure	Harold	bot	ready	peel	excuse	twin	sss
change	lollipop	Tots	dummy	Tank	parcel	tank	Morris	junk	Pooh
close	open	figure	peel	sun	throw	stone	control	stroke	junk
dry	front	bad	tidy	hoop	See_saw_marjorie_daw	pill	chuck	dirt	bill
finish	happy	Grandpa	parcel	dummy	witch	clever	help	sled	Morris
open	close	cupboard	pup	whoosh	maybe	pence	tweettweet	figure	sled
roll	sausage	sandwich	lizard	hop	control	Froggie	junk	Kangaroo	king
sink	old	See_saw_marjorie_daw	chuck	McDonald	Froggie	Pooh	lick	junk	control
stop	whoo	hooray	awake	mieow	uhoh	whoosh	Baa_Baa_Black_Sheep	hello	altogether
turn	outside	dummy	Morris	summer	parcel	hat	trolley	stroke	Kate
